,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
82,2020-04-13,10504.602975853682,3178.0219703992784,17894.816192166352,10504.602975853682,10504.602975853682,-18.151795447548686,-18.151795447548686,-18.151795447548686,-18.151795447548686,-18.151795447548686,-18.151795447548686,0.0,0.0,0.0,10486.451180406133
83,2020-04-14,11571.6679914535,4320.959683285996,19897.34437030204,11571.6679914535,11571.6679914535,157.25065170581436,157.25065170581436,157.25065170581436,157.25065170581436,157.25065170581436,157.25065170581436,0.0,0.0,0.0,11728.918643159313
84,2020-04-15,12638.733007053308,4679.647275313682,21571.072608311966,12638.733007053308,12638.733007053308,241.33066806588621,241.33066806588621,241.33066806588621,241.33066806588621,241.33066806588621,241.33066806588621,0.0,0.0,0.0,12880.063675119194
85,2020-04-16,13705.798022653149,6426.231094550331,21836.02765094588,13705.798022653149,13705.798022653149,454.4153408303353,454.4153408303353,454.4153408303353,454.4153408303353,454.4153408303353,454.4153408303353,0.0,0.0,0.0,14160.213363483484
86,2020-04-17,14888.282822519126,6231.099023958995,22538.823547207827,14888.282822519126,14888.282822519126,-474.23323044407135,-474.23323044407135,-474.23323044407135,-474.23323044407135,-474.23323044407135,-474.23323044407135,0.0,0.0,0.0,14414.049592075055
87,2020-04-18,16070.767622385147,8423.98913539328,23522.94264539593,16070.767622385147,16070.767622385147,-307.94753253628284,-307.94753253628284,-307.94753253628284,-307.94753253628284,-307.94753253628284,-307.94753253628284,0.0,0.0,0.0,15762.820089848863
88,2020-04-19,17253.252422251146,9085.069201532127,25909.16667288362,17253.252422251146,17253.252422251146,-52.66410217457953,-52.66410217457953,-52.66410217457953,-52.66410217457953,-52.66410217457953,-52.66410217457953,0.0,0.0,0.0,17200.588320076567
89,2020-04-20,18435.737222117146,10876.103404171423,26471.428623820328,18435.737222117146,18435.737222117146,-18.151795447895697,-18.151795447895697,-18.151795447895697,-18.151795447895697,-18.151795447895697,-18.151795447895697,0.0,0.0,0.0,18417.58542666925
90,2020-04-21,19618.222021983158,11728.922131115913,27142.589563429818,19618.222021983158,19618.222021983158,157.25065170521634,157.25065170521634,157.25065170521634,157.25065170521634,157.25065170521634,157.25065170521634,0.0,0.0,0.0,19775.472673688375
91,2020-04-22,21052.244224423204,12901.6659321318,29087.986176904087,21052.244224423208,21052.244224423208,241.33066806646457,241.33066806646457,241.33066806646457,241.33066806646457,241.33066806646457,241.33066806646457,0.0,0.0,0.0,21293.57489248967
92,2020-04-23,22486.26642686325,15035.607045330707,30869.70490755437,22486.26642686325,22486.26642686325,454.4153408299551,454.4153408299551,454.4153408299551,454.4153408299551,454.4153408299551,454.4153408299551,0.0,0.0,0.0,22940.681767693204
93,2020-04-24,23920.2886293033,16181.632269933834,31220.01161607338,23920.2886293033,23920.2886293033,-474.2332304448696,-474.2332304448696,-474.2332304448696,-474.2332304448696,-474.2332304448696,-474.2332304448696,0.0,0.0,0.0,23446.055398858432
94,2020-04-25,25354.310831743325,16990.155194254738,32980.815952787634,25354.310831743325,25354.310831743325,-307.9475325353018,-307.9475325353018,-307.9475325353018,-307.9475325353018,-307.9475325353018,-307.9475325353018,0.0,0.0,0.0,25046.363299208024
95,2020-04-26,27439.95349595025,19562.713088730783,35436.21118515394,27439.95349595025,27439.95349595025,-52.664102174099476,-52.664102174099476,-52.664102174099476,-52.664102174099476,-52.664102174099476,-52.664102174099476,0.0,0.0,0.0,27387.28939377615
96,2020-04-27,29525.59616015713,21763.49541285858,37610.4149602886,29525.59616015713,29525.59616015713,-18.15179544780935,-18.15179544780935,-18.15179544780935,-18.15179544780935,-18.15179544780935,-18.15179544780935,0.0,0.0,0.0,29507.44436470932
97,2020-04-28,31611.238824363965,23823.85139467048,39907.58565315279,31611.238824363965,31611.238824363965,157.2506517046798,157.2506517046798,157.2506517046798,157.2506517046798,157.2506517046798,157.2506517046798,0.0,0.0,0.0,31768.489476068644
98,2020-04-29,33696.881488570885,26196.355134855847,41332.38660638142,33696.881488570885,33696.881488570885,241.33066806605908,241.33066806605908,241.33066806605908,241.33066806605908,241.33066806605908,241.33066806605908,0.0,0.0,0.0,33938.212156636946
99,2020-04-30,35782.52415277777,28368.310316969804,44036.590622747644,35782.52415277777,35782.52415277777,454.41534082961556,454.41534082961556,454.41534082961556,454.41534082961556,454.41534082961556,454.41534082961556,0.0,0.0,0.0,36236.93949360739
100,2020-05-01,38800.25468288872,30477.6131588152,46135.11056897438,38800.25468288872,38800.25468288872,-474.23323044254573,-474.23323044254573,-474.23323044254573,-474.23323044254573,-474.23323044254573,-474.23323044254573,0.0,0.0,0.0,38326.02145244618
101,2020-05-02,41817.98521299972,32998.690675967795,49061.7673369599,41817.98521299972,41817.98521299972,-307.94753253654176,-307.94753253654176,-307.94753253654176,-307.94753253654176,-307.94753253654176,-307.94753253654176,0.0,0.0,0.0,41510.03768046318
102,2020-05-03,44835.715743110675,36578.290457110816,52931.84338951278,44835.715743110675,44835.715743110675,-52.664102173619455,-52.664102173619455,-52.664102173619455,-52.664102173619455,-52.664102173619455,-52.664102173619455,0.0,0.0,0.0,44783.051640937054
103,2020-05-04,47853.44627322167,40000.32285104898,56234.24164487631,47853.44627322167,47853.44627322167,-18.151795448156374,-18.151795448156374,-18.151795448156374,-18.151795448156374,-18.151795448156374,-18.151795448156374,0.0,0.0,0.0,47835.29447777352
104,2020-05-05,50871.176803332666,43051.79349829313,58830.597952329714,50871.176803332666,50871.176803332666,157.25065170599743,157.25065170599743,157.25065170599743,157.25065170599743,157.25065170599743,157.25065170599743,0.0,0.0,0.0,51028.42745503866
